Аймаг,Тойрог,Мандат,Дэвшигчийн тоо,Дэвшигчийн нэр,Нам
Өмнөговь,11-р тойрог,2 мандат,16 нэр дэвшигч,Нанзадын Наранбаатар,Монгол Ардын нам
,,,,Хархүүгийн Мандахбаяр,Монгол Ардын нам
,,,,Бадамгарав Бадраа,Ардчилсан нам
,,,,Дашдэмбэрэл Бат-Эрдэнэ,Ардчилсан нам
,,,,Билгээгийн Мөнхчулуун,Монголын Ногоон нам
,,,,Дагдангийн Эрдэнэ,Та бидний эвсэл
,,,,Агваан-Осорын Сүхбаатар,Та бидний эвсэл
,,,,Доржжодовын Сансар,Шинэ эвсэл
,,,,Цэвээнийн Бээжин,Шинэ эвсэл
,,,,Адъяагийн Ганбаатар,Зөв хүн электорат эвсэл
,,,,Эрдэнэчимэгийн Дамдинсүрэн,Сахигтун! Үндсэн хуулийн 19 эвсэл
,,,,Ганбатын Пүрэвдэмбэрэл,Сахигтун! Үндсэн хуулийн 19 эвсэл
,,,,Авирын Гантулга,Зон Олны нам
,,,,Рэнцэндооровын Баттөмөр,Бие даан нэр дэвшигч
,,,,Чойсүрэнгийн Батбаяр,Бие даан нэр дэвшигч
,,,,Агваандагвын Энхбаатар,Бие даан нэр дэвшигч
Өвөрхангай,10-р тойрог,3 мандат,14 нэр дэвшигч,Дуламдоржийн Тогтохсүрэн,Монгол Ардын нам
,,,,Содномын Чинзориг,Монгол Ардын нам
,,,,Гочоогийн Ганболд,Монгол Ардын нам
,,,,Оюунсайхан Алтангэрэл,Ардчилсан нам
,,,,Батхүү Ганхөлөг,Ардчилсан нам
,,,,Чимиддорж Даваабаяр,Ардчилсан нам
,,,,Чагнаадоржийн Цэндээ,Та бидний эвсэл
,,,,Дамдинсүрэн Хоролдамба,Та бидний эвсэл
,,,,Санжаасүрэнгийн Оргодол,Та бидний эвсэл
,,,,Аюурзанын Отгонбаатар,Шинэ эвсэл
,,,,Дамдинжавын Мөнхболд,Зөв хүн электорат эвсэл
,,,,Дуламдоржийн Хишигдэлгэр,Хөгжлийн Хөтөлбөр нам
,,,,Дашбазарын Отгонцэцэг,Зон Олны нам
,,,,Төмөрбаатарын Хасбаатар,Бие даан нэр дэвшигч
Архангай,1-р тойрог,3 мандат,19 нэр дэвшигч,Раднаабазарын Жаргалмаа,Зөв хүн электорат эвсэл
,,,,Энэбишийн Болорчулуун,Бие даан нэр дэвшигч
,,,,Ёндонпэрэнлэйн Баатарбилэг,Монгол Ардын нам
,,,,Ганзоригийн Тэмүүлэн,Монгол Ардын нам
,,,,Жамъянгийн Мөнхбат,Монгол Ардын нам
,,,,Нямжавын Батбаяр,Ардчилсан нам
,,,,Дондогдоржийн Золжаргал,Ардчилсан нам
,,,,Пүрэвбаатарын Мөнхтулга,Ардчилсан нам
,,,,Батаагийн Ганцэцэг,Та бидний эвсэл
,,,,Нацагийн Удвал,Та бидний эвсэл
,,,,Дуламжавын Мөнх-Эрдэнэ,Та бидний эвсэл
,,,,Даваадоржийн Ариунжаргал,Шинэ эвсэл
,,,,Лхагваагийн Дансранбавуу,Шинэ эвсэл
,,,,Жамбын Сандуйжав,Зөв хүн электорат эвсэл
,,,,Долгорын Сосорбарам,Сахигтун! Үндсэн хуулийн 19 эвсэл
,,,,Хадбаатарын Дэмидбалданням,Зон Олны нам
,,,,Энхбаярын Мөнхсайхан,Бие даан нэр дэвшигч
,,,,Батбаатарын Ганпүрэв,Бие даан нэр дэвшигч
,,,,Ранжилын Бадмаанямбуу,Бие даан нэр дэвшигч
Баян-Өлгий,2-р тойрог,3 мандат,15 нэр дэвшигч,Хавдисламын Баделхан,Монгол Ардын нам
,,,,Телуханы Аубакир,Монгол Ардын нам
,,,,Айпын Гылымхан,Монгол Ардын нам
,,,,Дакей Мурат,Ардчилсан нам
,,,,Буланы Бейсэн,Ардчилсан нам
,,,,Рахметийн Гажайв,Ардчилсан нам
,,,,Болатын Айбек,Та бидний эвсэл
,,,,Зулпайн Батырбек,Та бидний эвсэл
,,,,Таштуаны Ауез,Та бидний эвсэл
,,,,Харатышхан Ганибат,Шинэ эвсэл
,,,,Мавлет Төлеген,Шинэ эвсэл
,,,,Палдай Нямхүү,Шинэ эвсэл
,,,,Ган-Эрдэнийн Баянмөнх,Хөгжлийн Хөтөлбөр нам
,,,,Батмөнхийн Бямбагэрэл,Зон Олны нам
,,,,Каснайн Ханагат,Бие даан нэр дэвшигч
Баянхонгор,3-р тойрог,3 мандат,20 нэр дэвшигч,Мягмарын Ариунтуяа,Зөв хүн электорат эвсэл
,,,,Батмөнхийн Батцэцэг,Монгол Ардын нам
,,,,Гомбожавын Занданшатар,Монгол Ардын нам
,,,,Лхагваагийн Элдэв-Очир,Монгол Ардын нам
,,,,Амгалан Адъяасүрэн,Ардчилсан нам
,,,,Пүрэв Нүрзэд,Ардчилсан нам
,,,,Дашдондог Ганбат,Ардчилсан нам
,,,,Жамбалын Ганзул,Та бидний эвсэл
,,,,Гунаажавын Цэвээнжав,Та бидний эвсэл
,,,,Эрдэнэ-Очирын Содномжамц,Та бидний эвсэл
,,,,Мандахын Цэнджав,Шинэ эвсэл
,,,,Маамын Ганзориг,Шинэ эвсэл
,,,,Очирын Батсүх,Шинэ эвсэл
,,,,Жагваралын Төмөрхуяг,Зөв хүн электорат эвсэл
,,,,Пүрэвсүрэнгийн Очирпүрэв,Зон Олны нам
,,,,Чимэддоржийн Гантулга,Ард Түмний Олонхийн Засаглал нам
,,,,Даваагийн Мөнх-Эрдэнэ,Бие даан нэр дэвшигч
,,,,Баярсайханы Ууганбаяр,Бие даан нэр дэвшигч
,,,,Батчулууны Отгонбаяр,Бие даан нэр дэвшигч
,,,,Баасанжавын Анхбаяр,Бие даан нэр дэвшигч
Булган,4-р тойрог,2 мандат,14 нэр дэвшигч,Жадамба Бат-Эрдэнэ,Монгол Ардын нам
,,,,Цогт-Очирын Анандбазар,Монгол Ардын нам
,,,,Дорлиг Өсөхбаяр,Ардчилсан нам
,,,,Сэрээнэн Гал-Эрдэнэ,Ардчилсан нам
,,,,Ширэндэвийн Булган,Та бидний эвсэл
,,,,Баатарын Санчир,Та бидний эвсэл
,,,,Цэрэндэндэвийн Мэндээ,Шинэ эвсэл
,,,,Ганбатын Батбаяр,Шинэ эвсэл
,,,,Болдбаатарын Гүнбилэг,Зөв хүн электорат эвсэл
,,,,Алтанбаганын Манлайбаатар,Зон Олны нам
,,,,Ганболдын Ганчимэг,Бие даан нэр дэвшигч
,,,,Гантуяагийн Соёл-Эрдэнэ,Бие даан нэр дэвшигч
,,,,Батжаргалын Сүхбаатар,Бие даан нэр дэвшигч
,,,,Батмөнх Бат-Эрдэнэ,Бие даан нэр дэвшигч
Дархан-Уул,19-р тойрог,3 мандат,25 нэр дэвшигч,Гонгор Дамдинням,Монгол Ардын нам
,,,,Доржзовдын Энхтуяа,Ардчилсан нам
,,,,Банзрагчийн Отгонтөгс,Зөв хүн электорат эвсэл
,,,,Болдын Жавхлан,Монгол Ардын нам
,,,,Баагаагийн Баттөмөр,Монгол Ардын нам
,,,,Намсрай Мөнхдаш,Ардчилсан нам
,,,,Баянжаргал Бямбасайхан,Ардчилсан нам
,,,,Дашнямын Араажав,Та бидний эвсэл
,,,,Тогтохын Амгалан,Та бидний эвсэл
,,,,Эрдэнэбаярын Мягмардорж,Та бидний эвсэл
,,,,Пүрэвдоржийн Эрдэнэбат,Шинэ эвсэл
,,,,Жамбалсүрэнгийн Төгсжаргал,Шинэ эвсэл
,,,,Батсайханы Нямбаяр,Шинэ эвсэл
,,,,Артбазарын Галтбаяр,Зөв хүн электорат эвсэл
,,,,Бат-Очирын Содболд,Зөв хүн электорат эвсэл
,,,,Сайн-Эрийн Баяр,Эрх Чөлөөг Хэрэгжүүлэгч нам
,,,,Мөнхбаяр Амарсанаа,Сахигтун! Үндсэн хуулийн 19 эвсэл
,,,,Гончигзэгвийн Отгонжаргал,Зон Олны нам
,,,,Доржийн Тэрбиш,Ард Түмний Олонхийн Засаглал нам
,,,,Гомбожавын Энхжаргал,Ард Түмний Олонхийн Засаглал нам
,,,,Тордайн Ганболд,Бие даан нэр дэвшигч
,,,,Ганбаатарын Баянмөнх,Бие даан нэр дэвшигч
,,,,Оюунбатын Оргил,Бие даан нэр дэвшигч
,,,,Цогтоогийн Амарбаясгалан,Бие даан нэр дэвшигч
,,,,Лхасүрэнгийн Одбаяр,Бие даан нэр дэвшигч
Дорнод,7-р тойрог,2 мандат,16 нэр дэвшигч,Хаянгаа Болорчулуун,Монгол Ардын нам
,,,,Цэдэвийн Сэргэлэн,Монгол Ардын нам
,,,,Жамц Энхболд,Ардчилсан нам
,,,,Пүрэв Батчимэг,Ардчилсан нам
,,,,Чулууны Өлзийсайхан,Та бидний эвсэл
,,,,Хишигээгийн Одмандах,Шинэ эвсэл
,,,,Санжмятавын Отгонбаатар,Шинэ эвсэл
,,,,Чоймболын Баттулга,Зөв хүн электорат эвсэл
,,,,Шагдарсүрэнгийн Төгсбаяр,Зөв хүн электорат эвсэл
,,,,Минчиндоржийн Намсрай,Сахигтун! Үндсэн хуулийн 19 эвсэл
,,,,Хутрангаагийн Бат-Эрдэнэ,Сахигтун! Үндсэн хуулийн 19 эвсэл
,,,,Лхамхандын Цэвэгдарь,Зон Олны нам
,,,,Пүрэвгэрэлийн Гэрэлбаатар,Бие даан нэр дэвшигч
,,,,Баярсайханы Наранбат,Бие даан нэр дэвшигч
,,,,Ганхуягийн Мөнх-Од,Бие даан нэр дэвшигч
,,,,Бадамын Доржпүрэв,Бие даан нэр дэвшигч
Дорноговь,8-р тойрог,2 мандат,12 нэр дэвшигч,Цагаан-Өвгөн Жадамбаа,Ардчилсан нам
,,,,Борхүүгийн Дэлгэрсайхан,Монгол Ардын нам
,,,,Төмөртогоогийн Энхтүвшин,Монгол Ардын нам
,,,,Доржцэрэн Алтангэрэл,Ардчилсан нам
,,,,Баатарсүрэнгийн Ууганбаяр,Монголын Ногоон нам
,,,,Чимэддоржийн Чимидсүрэн,Та бидний эвсэл
,,,,Сүхбатын Мэндсайхан,Та бидний эвсэл
,,,,Цэндсүрэнгийн Гантулга,Шинэ эвсэл
,,,,Дамбаренчингийн Эрдэнэбат,Шинэ эвсэл
,,,,Солонгын Саран,Зөв хүн электорат эвсэл
,,,,Хишигжаргалын Ариунсанаа,Зон Олны нам
,,,,Очирсүхийн Машбат,Бие даан нэр дэвшигч
Дундговь,6-р тойрог,2 мандат,14 нэр дэвшигч,Гомпилдоогийн Мөнхцэцэг,Монгол Ардын нам
,,,,Сүхбаатар Батболд,Монгол Ардын нам
,,,,Лувсандорж Одсэр,Ардчилсан нам
,,,,Батсүх Наранхүү,Ардчилсан нам
,,,,Гаадангийн Батбаатар,Монголын Ногоон нам
,,,,Дашцэрэнгийн Энхсайхан,Та бидний эвсэл
,,,,Цэцэгээгийн Мөнхбаяр,Та бидний эвсэл
,,,,Осорын Ганбат,Шинэ эвсэл
,,,,Ороолонгийн Эрдэнэтөгс,Шинэ эвсэл
,,,,Баатарын Арвинбаяр,Зөв хүн электорат эвсэл
,,,,Цэрэнваанчигийн Эрдэнэбат,Сахигтун! Үндсэн хуулийн 19 эвсэл
,,,,Эрдэнэцогтын Батчимэг,Зон Олны нам
,,,,Наранцацралтын Соёмбо,Бие даан нэр дэвшигч
,,,,Пүрэвсүрэнгийн Энхбаяр,Бие даан нэр дэвшигч
Завхан,9-р тойрог,2 мандат,14 нэр дэвшигч,Балжиннямын Амараа,Зөв хүн электорат эвсэл
,,,,Балжиннямын Баярсайхан,Монгол Ардын нам
,,,,Цэдэндамбын Цэрэнпунцаг,Монгол Ардын нам
,,,,Загдхүү Нарантуяа,Ардчилсан нам
,,,,Даймаа Батсайхан,Ардчилсан нам
,,,,Эрдэнэбатын Гүндсамбуу,Та бидний эвсэл
,,,,Доржпаламын Эрдэнэцогт,Та бидний эвсэл
,,,,Шинэнсамбуугийн Сайхансамбуу,Шинэ эвсэл
,,,,Алтангэрэлийн Дорждавга,Шинэ эвсэл
,,,,Сүхбатын Бямбаасүрэн,Зөв хүн электорат эвсэл
,,,,Дугаржавын БАЯНМӨНХ,Зон Олны нам
,,,,Адъяабалжирын Санжмятав,Бие даан нэр дэвшигч
,,,,Бибишийн Баасанбямба,Бие даан нэр дэвшигч
,,,,Совдын Мөнхбат,Бие даан нэр дэвшигч
Говь-Алтай,5-р тойрог,2 мандат,10 нэр дэвшигч,Шатарбалын Раднаасэд,Монгол Ардын нам
,,,,Бямбасүрэнгийн Энх-Амгалан,Монгол Ардын нам
,,,,Очирбат Амгаланбаатар,Ардчилсан нам
,,,,Осормаа Батханд,Ардчилсан нам
,,,,Сандуйн Батбаатар,Та бидний эвсэл
,,,,Базаррагчаагийн Оюунбилэг,Та бидний эвсэл
,,,,Энхтуяагийн Эрдэнэтуяа,Шинэ эвсэл
,,,,Лутаагийн Энхнасан,Зөв хүн электорат эвсэл
,,,,Ган-Очирын Дондовсамбуу,Хөгжлийн Хөтөлбөр нам
,,,,Цэдэнбалын Амарзаяа,Зон Олны нам
Хөвсгөл,17-р тойрог,3 мандат,21 нэр дэвшигч,Лхагвын Мөнхбаатар,Монгол Ардын нам
,,,,Лувсанцэрэнгийн Энх-Амгалан,Монгол Ардын нам
,,,,Цэрэнпилийн Даваасүрэн,Монгол Ардын нам
,,,,Бямбасүрэн Баярмаа,Ардчилсан нам
,,,,Даваадорж Ганболд,Ардчилсан нам
,,,,Чимид Батцогт,Ардчилсан нам
,,,,Эрдэнэбаатарын Магнайбаяр,Та бидний эвсэл
,,,,Хастөмөрийн Бээжин,Та бидний эвсэл
,,,,Чимэдийн Базар,Та бидний эвсэл
,,,,Ламжавын Доржпалам,Шинэ эвсэл
,,,,Жамсрангийн Оюунмаа,Шинэ эвсэл
,,,,Эрдэнэбилэгийн Батхишиг,Шинэ эвсэл
,,,,Түвдэндансрангийн Ууганбаяр,Зөв хүн электорат эвсэл
,,,,Тангадын Туяа,Зөв хүн электорат эвсэл
,,,,Дулмаагийн Ариунтуяа,Сахигтун! Үндсэн хуулийн 19 эвсэл
,,,,Ламжавын Гүндалай,Ард Түмнээ Хайрлая нам
,,,,Цэндсүрэнгийн Ариунболд,Зон Олны нам
,,,,Мижиддоржийн Ганболд,Бие даан нэр дэвшигч
,,,,Дэмбэрэлнямын Совд,Бие даан нэр дэвшигч
,,,,Бадарчийн Болдбаатар,Бие даан нэр дэвшигч
,,,,Хайчаагийн Батсайхан,Бие даан нэр дэвшигч
Хэнтий,18-р тойрог,3 мандат,13 нэр дэвшигч,Ухнаагийн Хүрэлсүх,Монгол Ардын нам
,,,,Лувсаннамсрайн Оюун-Эрдэнэ,Монгол Ардын нам
,,,,Бадмаанямбуугийн Бат-Эрдэнэ,Монгол Ардын нам
,,,,Эрдэнэ Бат-Үүл,Ардчилсан нам
,,,,Жагдаг Оюунбаатар,Ардчилсан нам
,,,,Төрмөнх Пүрэвхатан,Ардчилсан нам
,,,,Сэлэнгийн Ононбаяр,Та бидний эвсэл
,,,,Сандуйн Жаргал,Та бидний эвсэл
,,,,Батсуурийн Батхишиг,Та бидний эвсэл
,,,,Дамбадондогийн Баатаржав,Шинэ эвсэл
,,,,Пунцагдашийн Нарантуяа,Шинэ эвсэл
,,,,Дамбын Одгэрэл,Шинэ эвсэл
,,,,Амарсанаагийн Мөнхзул,Зон Олны нам
Ховд,16-р тойрог,3 мандат,17 нэр дэвшигч,Цэдэнбалын Цогзолмаа,Монгол Ардын нам
,,,,Сандагийн Бямбацогт,Монгол Ардын нам
,,,,Отгоогийн Батнасан,Монгол Ардын нам
,,,,Бөхчулуун Пүрэвдорж,Ардчилсан нам
,,,,Нэргүй Пунцаг,Ардчилсан нам
,,,,Ширнэнбанди Адъшаа,Ардчилсан нам
,,,,Халтайн Батболд,Та бидний эвсэл
,,,,Уртнасангийн Батзаяа,Та бидний эвсэл
,,,,Доржийн Алимаа,Та бидний эвсэл
,,,,Ганболдын Билгүүн,Шинэ эвсэл
,,,,Чүлтэмийн Гантулга,Шинэ эвсэл
,,,,Аюушийн Баасандэмбэрэл,Шинэ эвсэл
,,,,Гантулгын Буянбаатар,Зөв хүн электорат эвсэл
,,,,Баатаржавын Ганзориг,Сахигтун! Үндсэн хуулийн 19 эвсэл
,,,,Төмөрбаатарын Оюунболор,Зон Олны нам
,,,,Өлзийн Алтай,Бие даан нэр дэвшигч
,,,,Дамдинсүрэнгийн Ууганжаргал,Бие даан нэр дэвшигч
Орхон,20-р тойрог,3 мандат,27 нэр дэвшигч,Александрын Ундрахтамир,Зөв хүн электорат эвсэл
,,,,Цэндийн Нямдорж,Монгол Ардын нам
,,,,Дамбын Батлут,Монгол Ардын нам
,,,,Батнасангийн Оюунгэрэл,Монгол Ардын нам
,,,,Октябрь Баасанхүү,Ардчилсан нам
,,,,Дэмбэрэл Оросоо,Ардчилсан нам
,,,,Цогтсайхан Батхуяг,Ардчилсан нам
,,,,Сайнхүүгийн Ганбаатар,Та бидний эвсэл
,,,,Бадарчийн Хэрлэн,Та бидний эвсэл
,,,,Пүрэвсүрэнгийн Баттөр,Та бидний эвсэл
,,,,Дондовдоржийн Батмөнх,Шинэ эвсэл
,,,,Доржпаламын Мөнхтуяа,Шинэ эвсэл
,,,,Даваасүрэнгийн Түмэнжаргал,Шинэ эвсэл
,,,,Сэрээтэрийн Эрдэнэцэцэг,Зөв хүн электорат эвсэл
,,,,Бат-Очирын Гантүшиг,Зөв хүн электорат эвсэл
,,,,Мэргэнбилэгийн Соёл,Эрх Чөлөөг Хэрэгжүүлэгч нам
,,,,Тайваны Пүрэвсүрэн,Сахигтун! Үндсэн хуулийн 19 эвсэл
,,,,Шагдарсүрэнгийн Чимэгсүрэн,Сахигтун! Үндсэн хуулийн 19 эвсэл
,,,,Батболдын Амарбаясгалан,Зон Олны нам
,,,,Балдоржийн Мөнх-Алдар,Ард Түмний Олонхийн Засаглал нам
,,,,Баасангийн Эрдэнэзул,Ард Түмний Олонхийн Засаглал нам
,,,,Батаагийн Гантулга,Бие даан нэр дэвшигч
,,,,Ваанчигийн Сумъяасүх,Бие даан нэр дэвшигч
,,,,Мянганбуугийн Сарандаваа,Бие даан нэр дэвшигч
,,,,Төлөвийн Хайрат,Бие даан нэр дэвшигч
,,,,Норовын Алтанхуяг,Бие даан нэр дэвшигч
,,,,Равжирын Мягмардорж,Бие даан нэр дэвшигч
Сүхбаатар,12-р тойрог,2 мандат,10 нэр дэвшигч,Төгсжаргалын Ганди,Монгол Ардын нам
,,,,Занын Энхтөр,Монгол Ардын нам
,,,,Жамба Батсуурь,Ардчилсан нам
,,,,Наянтай Ганибал,Ардчилсан нам
,,,,Чанцалын Үл-Олдох,Та бидний эвсэл
,,,,Намсрайн Лутбаяр,Та бидний эвсэл
,,,,Айлтгүйгийн Төмөр-Очир,Шинэ эвсэл
,,,,Намсрайн Лхагвасүрэн,Шинэ эвсэл
,,,,Ренчиндоржийн Энхтуяа,Зөв хүн электорат эвсэл
,,,,Жаргалсайханы Мөнхзаяа,Зон Олны нам
Сэлэнгэ,13-р тойрог,3 мандат,23 нэр дэвшигч,Дамдинсүрэнгийн Амарсайхан,Зөв хүн электорат эвсэл
,,,,Жаргалтулгын Эрдэнэбат,Монгол Ардын нам
,,,,Чинбатын Ундрам,Монгол Ардын нам
,,,,Дамдинсүрэнгийн Өнөрболор,Монгол Ардын нам
,,,,Дондогдорж Эрдэнэбат,Ардчилсан нам
,,,,Домбон Үүрийнтуяа,Ардчилсан нам
,,,,Сангажав Баярцогт,Ардчилсан нам
,,,,Амжаагийн Энхболд,Та бидний эвсэл
,,,,Шагдаррагчаагийн Эрдэнэбат,Та бидний эвсэл
,,,,Моголдойн Насанжаргал,Та бидний эвсэл
,,,,Готовын Баттулга,Шинэ эвсэл
,,,,Логийн Цог,Шинэ эвсэл
,,,,Бүрэнжаргалын Нэргүйбаатар,Шинэ эвсэл
,,,,Цэдэвийн Бат-Эрдэнэ,Зөв хүн электорат эвсэл
,,,,Алтангэрэлийн Мөнх-Эрдэнэ,Зөв хүн электорат эвсэл
,,,,Шийлэгсүрэнгийн Болорсүрэн,Эрх Чөлөөг Хэрэгжүүлэгч нам
,,,,Нямсүрэнгийн Батцэцэг,Сахигтун! Үндсэн хуулийн 19 эвсэл
,,,,Бадамжавын Базарваань,Сахигтун! Үндсэн хуулийн 19 эвсэл
,,,,Рагчаагийн Лхагвасүрэн,Зон Олны нам
,,,,Батсүхийн Хайдавмөнх,Бие даан нэр дэвшигч
,,,,Базарын Цээпилдорж,Бие даан нэр дэвшигч
,,,,Батжаргалын Буянзаяа,Бие даан нэр дэвшигч
,,,,Лхамжавын Орхон,Бие даан нэр дэвшигч
Төв,14-р тойрог,3 мандат,18 нэр дэвшигч,Батбаярын Насанбилэг,Зөв хүн электорат эвсэл
,,,,Нямаагийн Энхболд,Монгол Ардын нам
,,,,Дагвын Гантөгс,Монгол Ардын нам
,,,,Жигжидийн Батжаргал,Монгол Ардын нам
,,,,Хишигдэмбэрэл Тэмүүжин,Ардчилсан нам
,,,,Дэрэм Эрдэнэсувд,Ардчилсан нам
,,,,Цэвэгдорж Туваан,Ардчилсан нам
,,,,Оргойн Буяннэмэх,Та бидний эвсэл
,,,,Туулын Мөнхсүлд,Та бидний эвсэл
,,,,Санжаагийн Эрдэнэчимэг,Та бидний эвсэл
,,,,Агваансамдангийн Батсүх,Шинэ эвсэл
,,,,Бадмаабазарын Цондовдорж,Шинэ эвсэл
,,,,Лхамсүрэнгийн Алтантуяа,Шинэ эвсэл
