Аймаг,Тойрог,Мандат,Дэвшигчийн тоо,Дэвшигчийн нэр,Нам
,,,,Дүншигийн Мягмарсүрэн,Сахигтун! Үндсэн хуулийн 19 эвсэл
,,,,Намсрайдоржийн Уянга,Зон Олны нам
,,,,Өвгөнхүүгийн Гэрэлт-Од,Бие даан нэр дэвшигч
,,,,Сэдбазарын Чойжилжав,Бие даан нэр дэвшигч
,,,,Дуламсүрэнгийн Доржпүрэв,Бие даан нэр дэвшигч
Увс,15-р тойрог,3 мандат,23 нэр дэвшигч,Чимэдийн Хүрэлбаатар,Монгол Ардын нам
,,,,Намсрайн Цэрэнбат,Монгол Ардын нам
,,,,Баттогтохын Чойжилсүрэн,Монгол Ардын нам
,,,,Саманд Жавхлан,Ардчилсан нам
,,,,Одон Цогтгэрэл,Ардчилсан нам
,,,,Дашийн Цэндсүрэн,Ардчилсан нам
,,,,Нямаагийн Уламбаяр,Та бидний эвсэл
,,,,Хорлоогийн Удвалцэцэг,Та бидний эвсэл
,,,,Дамдинсүрэнгийн Гансүрэн,Та бидний эвсэл
,,,,Шагдарын Буянжаргал,Шинэ эвсэл
,,,,Авирмэдийн Чинбат,Шинэ эвсэл
,,,,Гансүхийн Нямсүрэн,Шинэ эвсэл
,,,,Цэдэвийн Өлзийтогтох,Зөв хүн электорат эвсэл
,,,,Доржнамжилын Болд-Эрдэнэ,Зөв хүн электорат эвсэл
,,,,Мөнхбаярын Цэдэнпунцаг,Зөв хүн электорат эвсэл
,,,,Ишийн Эрдэнэчимэг,Эрх Чөлөөг Хэрэгжүүлэгч нам
,,,,Дулмаагийн Ганхуяг,Эрх Чөлөөг Хэрэгжүүлэгч нам
,,,,Ихбаатарын Золзаяа,Зон Олны нам
,,,,Баатаржавын Бат-Амгалан,Бие даан нэр дэвшигч
,,,,Буянжаргалын Лхагвасүрэн,Бие даан нэр дэвшигч
,,,,Ганболдын Пүрэврагчаа,Бие даан нэр дэвшигч
,,,,Цэнгэлийн Бат-Эрдэнэ,Бие даан нэр дэвшигч
,,,,Цэвээний Батболд,Бие даан нэр дэвшигч
"Сонгинохайрхан (1, 2, 3, 4, 5, 6, 20, 22, 24, 26, 32, 33, 34, 35, 36, 37, 41 дүгээр хороо)",27-р тойрог,2 мандат,23 нэр дэвшигч,Батзоригийн Эрдэнээ,Зөв хүн электорат эвсэл
,,,,Хишгээгийн Нямбаатар,Монгол Ардын нам
,,,,Бадарчийн Жаргалмаа,Монгол Ардын нам
,,,,Даваа Кёкүшюзан Батбаяр,Ардчилсан нам
,,,,Бадамдорж Пунсалмаа,Ардчилсан нам
,,,,Батсүхийн Алтанхуяг,Монголын Ногоон нам
,,,,Буяагийн Тулга,Та бидний эвсэл
,,,,Дашаагийн Бямбасүрэн,Та бидний эвсэл
,,,,Халтарын Оюунцэцэг,Шинэ эвсэл
,,,,Борисын Саранцэцэг,Шинэ эвсэл
,,,,Жадамбын Отгонбаяр,Зөв хүн электорат эвсэл
,,,,Доржпаламын Хосбаяр,Сахигтун! Үндсэн хуулийн 19 эвсэл
,,,,Болдбаатарын Отгонтуул,Сахигтун! Үндсэн хуулийн 19 эвсэл
,,,,Дэлгэрбатын Насанбаяр,Зон Олны нам
,,,,Дүгэржавын Батбаатар,Ард Түмний Олонхийн Засаглал нам
,,,,Должингийн Нармандах,Ард Түмний Олонхийн Засаглал нам
,,,,Ягааны Мөнгөнцэцэг,Гэр хороолол хөгжлийн нам
,,,,Оргилын Энхмаа,Бие даан нэр дэвшигч
,,,,Очирболдын Сарантуяа,Бие даан нэр дэвшигч
,,,,Гомбодоржийн Золбаяр,Бие даан нэр дэвшигч
,,,,Энхболдын Болорчулуун,Бие даан нэр дэвшигч
,,,,Сайнбаярын Амарсүлд,Бие даан нэр дэвшигч
,,,,Чадраабалын Отгончулуун,Бие даан нэр дэвшигч
Чингэлтэй дүүрэг,25-р тойрог,3 мандат,33 нэр дэвшигч,Шаравдэмбэрэлийн Энхтуул,Зөв хүн электорат эвсэл
,,,,Мөнхөөгийн Оюунчимэг,Монгол Ардын нам
,,,,Төмөрбаатарын Аюурсайхан,Монгол Ардын нам
,,,,Жамъянхорлоогийн Сүхбаатар,Монгол Ардын нам
,,,,Цэнд Баатархүү,Ардчилсан нам
,,,,Гантөмөр Уянга,Ардчилсан нам
,,,,Ринзааны Булгамаа,Ардчилсан нам
,,,,Бямбасүрэнгийн Жагар,Монголын Ногоон нам
,,,,Цэрэндоржийн Ганхуяг,Та бидний эвсэл
,,,,Батын Батбаатар,Та бидний эвсэл
,,,,Шархүүгийн Хишигсүрэн,Та бидний эвсэл
,,,,Базарсадын Жаргалсайхан,Шинэ эвсэл
,,,,Шархүүгийн Нанжид,Шинэ эвсэл
,,,,Ренцэндоржийн Ууганбаатар,Шинэ эвсэл
,,,,Бадрахын Найдалаа,Зөв хүн электорат эвсэл
,,,,Гомбожавын Ганбаяр,Зөв хүн электорат эвсэл
,,,,Ганхүүгийн Батбаяр,Эрх Чөлөөг Хэрэгжүүлэгч нам
,,,,Дэмбэрэлийн Өнөрзул,Хөгжлийн Хөтөлбөр нам
,,,,Доржрэнцэнгийн Сүндий,Сахигтун! Үндсэн хуулийн 19 эвсэл
,,,,Мижиддоржийн Бат,Сахигтун! Үндсэн хуулийн 19 эвсэл
,,,,Давгадоржийн Уламбаяр,Сахигтун! Үндсэн хуулийн 19 эвсэл
,,,,Буянтогтохын Батмөнх,Зон Олны нам
,,,,Дашдэлэгийн Нямтүшиг,Ард Түмний Олонхийн Засаглал нам
,,,,Чойсүрэнгийн Буянжаргал,Ард Түмний Олонхийн Засаглал нам
,,,,Отгоны Нарантуяа,Гэр хороолол хөгжлийн нам
,,,,Цэрэндоржийн Пүрэвхүү,Бие даан нэр дэвшигч
,,,,Дагдангийн Анхбаяр,Бие даан нэр дэвшигч
,,,,Цэндийн Энхтуяа,Бие даан нэр дэвшигч
,,,,Жамъянсүрэнгийн Оймандах,Бие даан нэр дэвшигч
,,,,Батсайханы Амартүвшин,Бие даан нэр дэвшигч
,,,,Даваанямын Очирхуяг,Бие даан нэр дэвшигч
,,,,Жуковын Баяржавхлан,Бие даан нэр дэвшигч
,,,,Гомбодоржийн Оргил,Бие даан нэр дэвшигч
"Баянзүрх (4, 5, 6, 8, 13, 14, 15, 16, 18, 25, 26 дугаар хороо)",22-р тойрог,2 мандат,28 нэр дэвшигч,Пүрэвсүрэнгийн Наранбаяр,Зөв хүн электорат эвсэл
,,,,Гончигдоржийн Уянгахишиг,Зөв хүн электорат эвсэл
,,,,Батсүхийн Саранчимэг,Монгол Ардын нам
,,,,Баттөмөрийн Энхбаяр,Монгол Ардын нам
,,,,Зандаахүү Энхболд,Ардчилсан нам
,,,,Түмэндэлгэр Батцогт,Ардчилсан нам
,,,,Баасансүрэнгийн Цацралтуяа,Монголын Ногоон нам
,,,,Баярсайханы Пүрэвжав,Монголын Ногоон нам
,,,,Равжаагийн Өсөхбаяр,Та бидний эвсэл
,,,,Гантулгын Золзаяа,Та бидний эвсэл
,,,,Санжжавын Амарсайхан,Шинэ эвсэл
,,,,Халтарын Батсуурь,Шинэ эвсэл
,,,,Авирмэдийн Эрдэнэбаяр,Эрх Чөлөөг Хэрэгжүүлэгч нам
,,,,Лүүрэвийн Өнөрчимэг,Хөгжлийн Хөтөлбөр нам
,,,,Ганчилын Ганбат,Эх Орончдын Нэгдсэн нам
,,,,Жалхарын Батзориг,Сахигтун! Үндсэн хуулийн 19 эвсэл
,,,,Баатарын Лхамхүү,Зон Олны нам
,,,,Дашдондогийн Ганзориг,Ард Түмний Олонхийн Засаглал нам
,,,,Цэцгээгийн Мөнхжаргал,Ард Түмний Олонхийн Засаглал нам
,,,,Зулаагийн Бат-отгон,Их Эв нам
,,,,Сосорбарамын Барсболд,Бие даан нэр дэвшигч
,,,,Шагдарын Ганболд,Бие даан нэр дэвшигч
,,,,Чулуунбаатарын Чулуунцэцэг,Бие даан нэр дэвшигч
,,,,Манжаагийн Ичинноров,Бие даан нэр дэвшигч
,,,,Улаанхүүгийн Мягмархүү,Бие даан нэр дэвшигч
,,,,Цоодолын Хулан,Бие даан нэр дэвшигч
,,,,Ганбатын Тулга,Бие даан нэр дэвшигч
,,,,Доржготовын Батжаргал,Бие даан нэр дэвшигч
Сүхбаатар дүүрэг,24-р тойрог,3 мандат,38 нэр дэвшигч,Цэрэнжамц Мөнхцэцэг,Монгол Ардын нам
,,,,Ринчинням Амаржаргал,Ардчилсан нам
,,,,Сүхбаатарын ЭРДЭНЭБОЛД,Ардчилсан нам
,,,,Эрдэнэбаатарын Долгион,Ардчилсан нам
,,,,Зуунайн Шагдарсүрэн,Та бидний эвсэл
,,,,Баатаржавын Мөнхсоёл,Зөв хүн электорат эвсэл
,,,,Дэмбэрэлцэрэнгийн Мөнх-Эрдэнэ,Зөв хүн электорат эвсэл
,,,,Мархаажийн Чойдорж,Бие даан нэр дэвшигч
,,,,Содномдаржаа ДАВААСҮРЭН,Бие даан нэр дэвшигч
,,,,Цэндийн Мөнх-Оргил,Монгол Ардын нам
,,,,Дамдин Цогтбаатар,Монгол Ардын нам
,,,,Олзодын Бум-ялагч,Монголын Ногоон нам
,,,,Банзрагчийн Дэлгэрмаа,Та бидний эвсэл
,,,,Парчаагийн Шинжээравдан,Та бидний эвсэл
,,,,Бямбын Мөнхжаргал,Шинэ эвсэл
,,,,Чимэд-Очирын Мэндсайхан,Шинэ эвсэл
,,,,Цэндийн Энхбат,Шинэ эвсэл
,,,,Гэндэндарамын Ганхүү,Зөв хүн электорат эвсэл
,,,,Даваагийн Цогтбаатар,Эрх Чөлөөг Хэрэгжүүлэгч нам
,,,,Цогзоогийн Хүрэлбаатар,Эрх Чөлөөг Хэрэгжүүлэгч нам
,,,,Очирбатын Сэлэнгээ,Хөгжлийн Хөтөлбөр нам
,,,,Цэгмидийн Төмөрбаатар,Сахигтун! Үндсэн хуулийн 19 эвсэл
,,,,Баасанжавийн Амарсайхан,Сахигтун! Үндсэн хуулийн 19 эвсэл
,,,,Гүррагчаагийн Бадамрагчаа,Сахигтун! Үндсэн хуулийн 19 эвсэл
,,,,Шаравын Амгалан,Зон Олны нам
,,,,Очирбатын Итгэлсүрэн,Зон Олны нам
,,,,Гэмбэлийн Тэмүүжин,Дэлхийн Монголчууд нам
,,,,Төмөрийн Төмөрбат,Дэлхийн Монголчууд нам
,,,,Доржготовын Энхжаргал,Дэлхийн Монголчууд нам
,,,,Лувсанвандангийн Дарамсэнгэ,Ард Түмний Олонхийн Засаглал нам
,,,,Бяруузанын Оюунсайхан,Ард Түмний Олонхийн Засаглал нам
,,,,Намсрайдоржийн Түмэнбаяр,Гэр хороолол хөгжлийн нам
,,,,Цэвээндоржийн Эрдэмт,Бие даан нэр дэвшигч
,,,,Жанцандоржийн Янжинсүрэн,Бие даан нэр дэвшигч
,,,,Магнайбаярын Чингисхаан,Бие даан нэр дэвшигч
,,,,Довчинсүрэнгийн Чимэдбавуу,Бие даан нэр дэвшигч
,,,,Агваандоржийн Саруул,Бие даан нэр дэвшигч
,,,,Цогтсайханы Буянцогтоо,Бие даан нэр дэвшигч
"Баянзүрх (1, 2, 3, 7, 9, 10, 11, 12, 17, 19, 20, 21, 22, 23, 24, 27, 28 дугаар хороо)",23-р тойрог,3 мандат,36 нэр дэвшигч,Цогтоо Одонтунгалаг,Ардчилсан нам
,,,,Доноровын Гантулга,Зөв хүн электорат эвсэл
,,,,Алтанчулууны Дөлгөөн,Зөв хүн электорат эвсэл
,,,,Хүрэлбаатарын Булгантуяа,Монгол Ардын нам
,,,,Энхтайваны Бат-Амгалан,Монгол Ардын нам
,,,,Жигжидсүрэнгийн Чинбүрэн,Монгол Ардын нам
,,,,Даваахүү Пүрэвдаваа,Ардчилсан нам
,,,,Жадамбаагийн Баясгалан,Ардчилсан нам
,,,,Сугирын Маам,Монголын Ногоон нам
,,,,Батдэлгэрийн Батболд,Та бидний эвсэл
,,,,Сономын Бямбасүрэн,Та бидний эвсэл
,,,,Лхагвасүрэнгийн Өнөрбаяр,Та бидний эвсэл
,,,,Жалбасүрэнгийн Батзандан,Шинэ эвсэл
,,,,Шинэнсамбуугийн Батсамбуу,Шинэ эвсэл
,,,,Цэрэнхүүгийн Баттуяа,Шинэ эвсэл
,,,,Галиндэвийн Рагчаасүрэн,Зөв хүн электорат эвсэл
,,,,Очирбатын Заяа,Хөгжлийн Хөтөлбөр нам
,,,,Пүрэвдоржийн Хишигбаяр,Сахигтун! Үндсэн хуулийн 19 эвсэл
,,,,Дамдинсүрэнгийн Баянзул,Сахигтун! Үндсэн хуулийн 19 эвсэл
,,,,Гомбожавийн Сүхболд,Сахигтун! Үндсэн хуулийн 19 эвсэл
,,,,Н Сарангэрэл,Зон Олны нам
,,,,Вандандоржийн Ганболд,Ард Түмний Олонхийн Засаглал нам
,,,,Дарамсэнгийн Батбилэг,Ард Түмний Олонхийн Засаглал нам
,,,,Батхуяг Батсүх,Гэр хороолол хөгжлийн нам
,,,,Жаанаагийн Ганбаатар,Бие даан нэр дэвшигч
,,,,Б Батсайхан,Бие даан нэр дэвшигч
,,,,С Батчулуун,Бие даан нэр дэвшигч
,,,,Б Мөнхбат,Бие даан нэр дэвшигч
,,,,Г Жавхлан,Бие даан нэр дэвшигч
,,,,Даш Батсүх,Бие даан нэр дэвшигч
,,,,Ө Эрдэнэболд,Бие даан нэр дэвшигч
,,,,М Энхдэлгэр,Бие даан нэр дэвшигч
,,,,Б Баярмагнай,Бие даан нэр дэвшигч
,,,,А Бат-Эрдэнэ,Бие даан нэр дэвшигч
,,,,Б Баярбаатар,Бие даан нэр дэвшигч
,,,,Ц Минжин,Бие даан нэр дэвшигч
"Сонгинохайрхан (7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 21, 23, 25, 27, 28, 29, 30, 31, 38, 39, 40, 42, 43 дугаар хороо)",28-р тойрог,3 мандат,27 нэр дэвшигч,Адъяабатын Амарбаяр,Зөв хүн электорат эвсэл
,,,,Долгорсүрэнгийн Сумъяабазар,Монгол Ардын нам
,,,,Ням-Осорын Учрал,Монгол Ардын нам
,,,,Пүрэв-Очирын Анужин,Монгол Ардын нам
,,,,Отгонжаргал Магнай,Ардчилсан нам
,,,,Пүрэв Цэцэгмаа,Ардчилсан нам
,,,,Ганбат Очирбат,Ардчилсан нам
,,,,Цэвэграшийн Эрдэнэчулуун,Монголын Ногоон нам
,,,,Энхбаярын Батшугар,Та бидний эвсэл
,,,,Мянганбуугийн Наранбаатар,Та бидний эвсэл
,,,,Мижидийн Тулга,Та бидний эвсэл
,,,,Даньдайн Энхсайхан,Шинэ эвсэл
,,,,Баянжаргалын Цогтгэрэл,Шинэ эвсэл
,,,,Донжоогийн Батбаяр,Шинэ эвсэл
,,,,Шагдарсүрэнгийн Гантулга,Ард Түмний нам
,,,,Чулуундоржийн Мөнхбаяр,Эрх Чөлөөг Хэрэгжүүлэгч нам
,,,,Нямдоржийн Ган-Од,Эрх Чөлөөг Хэрэгжүүлэгч нам
,,,,Мягмарын Алтанхуяг,Сахигтун! Үндсэн хуулийн 19 эвсэл
,,,,Хадбаатарын Бат-Ялалт,Сахигтун! Үндсэн хуулийн 19 эвсэл
,,,,Бямбаринчингийн Баяраа,Сахигтун! Үндсэн хуулийн 19 эвсэл
,,,,Пүрэвсүрэнгийн Мөнхчимэг,Зон Олны нам
,,,,Алтанцэцэгийн Батдорж,Ард Түмний Олонхийн Засаглал нам
,,,,Шагдарсүрэнгийн Гантулга,Ард Түмний Олонхийн Засаглал нам
,,,,Лхүндэвийн Лхагвадорж,Ард Түмний Олонхийн Засаглал нам
,,,,Цэрэндоржийн Түвшинтөр,Бие даан нэр дэвшигч
,,,,Ринчинлхүмбийн Ням-Очир,Бие даан нэр дэвшигч
,,,,Самданнямын Мөнхчулуун,Бие даан нэр дэвшигч
"Налайх, Багануур, Багахангай дүүрэг",21-р тойрог,2 мандат,14 нэр дэвшигч,Бадралын МӨНХДӨЛ,Зөв хүн электорат эвсэл
,,,,Сайнбуянгийн Амарсайхан,Монгол Ардын нам
,,,,Цэндийн Сандаг-Очир,Монгол Ардын нам
,,,,Мангалсүрэн Энх-Амар,Ардчилсан нам
,,,,Цэрэндулам Алтанцэцэг,Ардчилсан нам
,,,,Эрдэнэбилэгийн Эрдэнэжамъян,Та бидний эвсэл
,,,,Пүрэвсүрэнгийн Цолмон,Та бидний эвсэл
,,,,Бэгзсүрэнгийн Гантулга,Шинэ эвсэл
,,,,Даваасамбуугийн Оюунчимэг,Шинэ эвсэл
,,,,Цогийн Нандинбаатар,Зөв хүн электорат эвсэл
,,,,Ганхуягийн Бямбатулга,Сахигтун! Үндсэн хуулийн 19 эвсэл
,,,,Болысханы Ризагүль,Зон Олны нам
,,,,Гомбосүрэнгийн Чоглоонамжил,Бие даан нэр дэвшигч
,,,,Гэлэгийн Баасан,Бие даан нэр дэвшигч
Хан-Уул дүүрэг,29-р тойрог,3 мандат,30 нэр дэвшигч,Банзрагч Түвшин,Ардчилсан нам
,,,,Тогмидын Доржханд,Зөв хүн электорат эвсэл
,,,,Ганбаатарын Жавхлантөгс,Зөв хүн электорат эвсэл
,,,,Жаргалцэнгэл Эрхэмбаатар,Бие даан нэр дэвшигч
,,,,Нямтайширын Номтойбаяр,Бие даан нэр дэвшигч
,,,,Даваажанцангийн Сарангэрэл,Монгол Ардын нам
,,,,Ганибалын Амартүвшин,Монгол Ардын нам
,,,,Жуковын Алдаржавхлан,Монгол Ардын нам
,,,,Тэрбиш Энхсайхан,Ардчилсан нам
,,,,Чадраабал Өнөрбаяр,Ардчилсан нам
,,,,Мягмарын Нямгэрэл,Монголын Ногоон нам
,,,,Довдонгийн Энхболд,Монголын Ногоон нам
,,,,Төмөрдөшийн Баярхүү,Та бидний эвсэл
,,,,Баасангийн Наминчимэд,Та бидний эвсэл
,,,,Цэрэндашийн Оюунбаатар,Та бидний эвсэл
,,,,Лувсанвандангийн Болд,Шинэ эвсэл
,,,,Эрдэнэдэлгэрийн Түвшин,Шинэ эвсэл
,,,,Лхагвадоржийн Ариунаа,Шинэ эвсэл
,,,,Баярхүүгийн Мөнхцэлмэг,Зөв хүн электорат эвсэл
,,,,Сэрчингийн Үүрцайх,Эрх Чөлөөг Хэрэгжүүлэгч нам
,,,,Батаагийн Гэрэлтцолмон,Сахигтун! Үндсэн хуулийн 19 эвсэл
,,,,Жанчивын Оюунжаргал,Зон Олны нам
,,,,Ойдовын Лхагвадорж,Ард Түмний Олонхийн Засаглал нам
,,,,Агваанпүрэвийн Дугармаа,Ард Түмний Олонхийн Засаглал нам
,,,,Нанзаддоржийн Эрдэнэцэцэг,Ард Түмний Олонхийн Засаглал нам
,,,,Аханбаярын Галбадрах,Бие даан нэр дэвшигч
,,,,Гочоосүрэнгийн Батжаргал,Бие даан нэр дэвшигч
,,,,Төрболдын Бат-Оргил,Бие даан нэр дэвшигч
,,,,Даваагийн Басандорж,Бие даан нэр дэвшигч
,,,,Цэдэвийн Цолмон,Бие даан нэр дэвшигч
Баянгол дүүрэг,26-р тойрог,3 мандат,36 нэр дэвшигч,Цэрэндоржийн Солонго,Шинэ эвсэл
,,,,Жаргалсайханы Золжаргал,Зөв хүн электорат эвсэл
,,,,Данзангийн Лүндээжанцан,Монгол Ардын нам
,,,,Жамбалын Ганбаатар,Монгол Ардын нам
,,,,Хассуурийн Ганхуяг,Монгол Ардын нам
,,,,Содномзундуй Эрдэнэ,Ардчилсан нам
,,,,Салдан Одонтуяа,Ардчилсан нам
,,,,Догсом Батцогт,Ардчилсан нам
,,,,Ганбаатарын Эрдэнэтуяа,Монголын Ногоон нам
,,,,Шаравын Цэнгэл,Монголын Ногоон нам
,,,,Санж-Осорын Батдорж,Монголын Ногоон нам
,,,,Ёндонсамбуугийн Бямбатогтох,Та бидний эвсэл
,,,,Пүрэвдоржийн Цогтбаатар,Та бидний эвсэл
,,,,Даньдайн Жаргалсайхан,Шинэ эвсэл
,,,,Базаррагчаагийн Зоригоо,Шинэ эвсэл
,,,,Дашдондогийн Үүрцайх,Зөв хүн электорат эвсэл
,,,,Долгорын Түмэн-Өлзий,Зөв хүн электорат эвсэл
,,,,Шоовдорын Төмөрсүх,Эрх Чөлөөг Хэрэгжүүлэгч нам
,,,,Сүхээгийн Одонтуяа,Сахигтун! Үндсэн хуулийн 19 эвсэл
,,,,Намжилын Дашдаваа,Сахигтун! Үндсэн хуулийн 19 эвсэл
,,,,Намжаагийн Дашзэвэг,Сахигтун! Үндсэн хуулийн 19 эвсэл
,,,,Батзаяагийн Ариунсанаа,Зон Олны нам
,,,,Шагдарын Мөнхбаатар,Ард Түмний Олонхийн Засаглал нам
,,,,Дамдины Батсайхан,Ард Түмний Олонхийн Засаглал нам
,,,,Дэнзэнгийн Чулуунбат,Ард Түмний Олонхийн Засаглал нам
,,,,Пүрэвдоржийн Галиндэв,Бие даан нэр дэвшигч
,,,,Чулуунбатын Анхбаяр,Бие даан нэр дэвшигч
,,,,Сурмаадоржийн Батсүх,Бие даан нэр дэвшигч
,,,,Мөнхтөрийн Нарантуяа-Нара,Бие даан нэр дэвшигч
,,,,Чулуунбаатарын Энхзаяа,Бие даан нэр дэвшигч
,,,,Халхын Ганхуяг,Бие даан нэр дэвшигч
,,,,Содномцогийн Сүх-Очир,Бие даан нэр дэвшигч
,,,,Пүрэвдоржийн Мөнхбаяр,Бие даан нэр дэвшигч
,,,,Дэмчигийн Болор,Бие даан нэр дэвшигч
,,,,Очирхуягийн Мөнхтулга,Бие даан нэр дэвшигч
,,,,Пүрэвдоржийн Бүүвэйбаатар,Бие даан нэр дэвшигч
